perso,agent_picks_24_04,total_compositions_24_04,pick_rate_24_04,agent_picks_01_05,total_compositions_01_05,pick_rate_01_05
neon,372,460,0.81,433,528,0.82
omen,233,460,0.51,266,528,0.5
viper,230,460,0.5,265,528,0.5
fade,164,460,0.36,188,528,0.36
waylay,167,460,0.36,172,528,0.33
skye,155,460,0.34,175,528,0.33
astra,115,460,0.25,132,528,0.25
sova,111,460,0.24,135,528,0.26
brimstone,104,460,0.23,115,528,0.22
cypher,106,460,0.23,123,528,0.23
raze,80,460,0.17,101,528,0.19
phoenix,70,460,0.15,84,528,0.16
chamber,58,460,0.13,63,528,0.12
killjoy,62,460,0.13,70,528,0.13
vyse,57,460,0.12,67,528,0.13
jett,43,460,0.09,51,528,0.1
tejo,43,460,0.09,49,528,0.09
kayo,30,460,0.07,36,528,0.07
breach,27,460,0.06,30,528,0.06
harbor,23,460,0.05,32,528,0.06
veto,22,460,0.05,23,528,0.04
deadlock,11,460,0.02,12,528,0.02
gekko,4,460,0.01,4,528,0.01
iso,4,460,0.01,5,528,0.01
sage,6,460,0.01,8,528,0.02
miks,2,460,0.0,2,528,0.0
yoru,1,460,0.0,1,528,0.0
