team,signature_agents,signature_strength,primary_agent
KRÜ Esports,"neon,omen,fade,viper,vyse",0.8667,neon
Dragon Ranger Gaming,"neon,skye,waylay,omen,cypher",0.8267,neon
Xi Lai Gaming,"neon,viper,skye,waylay,omen",0.8125,neon
T1,"neon,chamber,skye,astra,killjoy",0.8,neon
MIBR,"fade,vyse,neon,raze,astra",0.8,fade
Evil Geniuses,"neon,sova,viper,killjoy,omen",0.76,neon
G2 Esports,"vyse,astra,fade,harbor,neon",0.7429,vyse
FunPlus Phoenix,"neon,waylay,fade,viper,astra",0.7385,neon
Titan Esports Club,"neon,waylay,skye,viper,brimstone",0.7286,neon
Natus Vincere,"neon,viper,chamber,fade,omen",0.6909,neon
FURIA,"neon,fade,omen,viper,killjoy",0.6857,neon
All Gamers,"neon,waylay,omen,skye,viper",0.675,neon
Sentinels,"viper,neon,omen,sova,fade",0.65,viper
ZETA DIVISION,"neon,waylay,omen,viper,brimstone",0.65,neon
Team Vitality,"viper,neon,omen,sova,fade",0.6445,viper
FULL SENSE,"cypher,neon,skye,waylay,omen",0.6445,cypher
PCIFIC Esports,"neon,fade,astra,viper,raze",0.64,neon
Cloud9,"neon,omen,skye,viper,astra",0.64,neon
Team Secret,"neon,skye,viper,astra,cypher",0.6333,neon
LEVIATÁN,"neon,phoenix,viper,brimstone,chamber",0.6286,neon
Nova Esports,"neon,viper,omen,sova,brimstone",0.62,neon
Team Liquid,"neon,phoenix,fade,killjoy,omen",0.6,neon
Gentle Mates,"neon,fade,cypher,omen,phoenix",0.6,neon
LOUD,"neon,sova,omen,viper,astra",0.6,neon
Trace Esports,"viper,omen,neon,waylay,fade",0.5867,viper
Eternal Fire,"neon,viper,fade,raze,omen",0.58,neon
Paper Rex,"omen,raze,neon,jett,viper",0.58,omen
Rex Regum Qeon,"neon,skye,viper,brimstone,omen",0.58,neon
Gen.G,"neon,fade,omen,phoenix,chamber",0.58,neon
FNATIC,"neon,viper,skye,sova,harbor",0.58,neon
Nongshim RedForce,"neon,breach,fade,omen,viper",0.575,neon
JDG Esports,"neon,omen,cypher,waylay,brimstone",0.5714,neon
Karmine Corp,"fade,omen,neon,vyse,astra",0.5636,fade
GIANTX,"neon,cypher,omen,sova,viper",0.5636,neon
FUT Esports,"neon,omen,viper,brimstone,raze",0.5636,neon
Team Heretics,"neon,chamber,skye,astra,fade",0.56,neon
TYLOO,"neon,viper,waylay,skye,sova",0.56,neon
100 Thieves,"neon,omen,phoenix,sova,cypher",0.56,neon
BBL Esports,"omen,neon,jett,sova,raze",0.54,omen
Global Esports,"fade,omen,deadlock,raze,neon",0.525,fade
NRG,"neon,omen,viper,astra,fade",0.52,neon
Kiwoom DRX,"neon,chamber,omen,cypher,breach",0.52,neon
Wolves Esports,"waylay,viper,brimstone,fade,killjoy",0.5167,waylay
EDward Gaming,"omen,cypher,neon,waylay,fade",0.5067,omen
ENVY,"neon,sova,viper,astra,chamber",0.5,neon
Bilibili Gaming,"neon,tejo,viper,astra,killjoy",0.4923,neon
DetonatioN FocusMe,"neon,waylay,omen,tejo,astra",0.46,neon
VARREL,"neon,astra,omen,cypher,fade",0.4222,neon
