map,agent,maps_played,pick_rate,pick_rate_from_comps,sample_reliability_score,global_pick_rate,local_pick_delta,cross_map_stability_score,map_dependence_score,meta_presence_score,agent_meta_label
Bind,skye,30.0,0.8993333333333334,,0.8165,0.3345689655172413,0.5648,0.3435,0.7554,0.5509,map_specialist
Bind,viper,30.0,0.9013333333333332,,0.8165,0.4952011494252873,0.4061,0.0862,0.5431,0.5002,map_specialist
Bind,brimstone,30.0,0.9316666666666664,,0.8165,0.2241522988505747,0.7075,0.0,0.9462,0.4951,map_specialist
Breeze,sova,24.0,0.875,,0.7303,0.2427011494252873,0.6323,0.1719,0.8457,0.4939,map_specialist
Breeze,viper,24.0,0.8783333333333334,,0.7303,0.4952011494252873,0.3831,0.0862,0.5124,0.4781,map_specialist
Fracture,brimstone,27.0,0.8903703703703704,,0.7746,0.2241522988505747,0.6662,0.0,0.891,0.4723,map_specialist
Fracture,cypher,27.0,0.6462962962962963,,0.7746,0.233735632183908,0.4126,0.4393,0.5518,0.4626,map_specialist
Haven,omen,39.0,0.9356410256410256,,0.9309,0.5063362068965518,0.4293,0.0005,0.5742,0.514,map_specialist
Haven,sova,39.0,0.6653846153846154,,0.9309,0.2427011494252873,0.4227,0.1719,0.5653,0.4402,map_specialist
Lotus,fade,45.0,0.8786666666666666,,1.0,0.3588218390804598,0.5198,0.2934,0.6952,0.5601,map_specialist
Lotus,omen,45.0,1.0,,1.0,0.5063362068965518,0.4937,0.0005,0.6603,0.5501,map_specialist
Pearl,astra,33.0,1.0,,0.8563,0.2522701149425287,0.7477,0.2154,1.0,0.5715,map_specialist
Split,viper,34.0,0.8814705882352941,,0.8692,0.4952011494252873,0.3863,0.0862,0.5167,0.5002,map_specialist
