team,group,P1,P2,P3,P4,P5,P6
BBL,Omega,0.0,0.0,0.57093,0.34237,0.0867,0.0
EF,Omega,0.11533,0.42595,0.26309,0.19563,0.0,0.0
FNC,Omega,0.88467,0.11533,0.0,0.0,0.0,0.0
FUT,Alpha,0.89038,0.10962,0.0,0.0,0.0,0.0
GX,Omega,0.0,0.45872,0.06605,0.25836,0.21687,0.0
KC,Alpha,0.0,0.0,0.0,0.0,0.46329,0.53671
M8,Alpha,0.0,0.49274,0.10778,0.26959,0.12989,0.0
NAVI,Alpha,0.0,0.0,0.03825,0.20747,0.29099,0.46329
PCF,Omega,0.0,0.0,0.0,0.0,0.43421,0.56579
TH,Alpha,0.0,0.0,0.57299,0.31118,0.11583,0.0
TL,Alpha,0.10962,0.39764,0.28098,0.21176,0.0,0.0
VIT,Omega,0.0,0.0,0.09993,0.20364,0.26222,0.43421
